date,harga_nasional_idr_kg,harga_jateng_idr_kg,split
2022-07-01,70850,71550,train
2022-08-01,71350,70950,train
2022-09-01,60500,56350,train
2022-10-03,50350,41900,train
2022-11-01,40050,33350,train
2022-12-01,37700,28350,train
2023-01-02,40300,34300,train
2023-02-01,39500,33000,train
2023-03-01,46250,32900,train
2023-04-03,43000,29650,train
2023-05-01,40700,27850,train
2023-06-01,47750,28850,train
2023-07-03,52750,34950,train
2023-08-01,41450,32000,train
2023-09-01,45600,39000,train
2023-10-02,43250,37500,train
2023-11-01,49150,47750,train
2023-12-01,71350,72750,train
2024-01-01,62250,56800,train
2024-02-01,62750,64400,train
2024-03-01,75450,76050,train
2024-04-01,52100,37700,train
2024-05-01,54700,51300,train
2024-06-03,54550,44550,train
2024-07-01,53050,38650,train
2024-08-01,48300,38650,train
2024-09-02,42300,28850,train
2024-10-01,35000,24050,train
2024-11-01,33200,25350,train
2024-12-02,34700,23500,train
2025-01-01,57250,54950,train
2025-02-03,59700,55950,train
2025-03-03,66000,59950,train
2025-04-01,64400,57150,test
2025-05-01,53850,39250,test
2025-06-02,48750,35750,test
2025-07-01,45000,37100,test
2025-08-01,47650,34300,test
2025-09-01,46250,33800,test
2025-10-01,52250,47400,test
2025-11-03,50900,49800,test
2025-12-01,59150,56900,test
