date,harga_nasional_idr_kg,harga_jateng_idr_kg,split
2022-07-01,70150,58900,train
2022-08-01,54950,39450,train
2022-09-01,50400,34200,train
2022-10-03,45950,35150,train
2022-11-01,38900,26400,train
2022-12-01,40100,26900,train
2023-01-02,55650,43400,train
2023-02-01,45550,38300,train
2023-03-01,47700,35900,train
2023-04-03,41800,29450,train
2023-05-01,34350,21600,train
2023-06-01,38400,25350,train
2023-07-03,42250,28050,train
2023-08-01,41600,29000,train
2023-09-01,38600,26750,train
2023-10-02,42000,29250,train
2023-11-01,55650,51300,train
2023-12-01,65800,59650,train
2024-01-01,49900,37850,train
2024-02-01,42000,31050,train
2024-03-01,52650,37000,train
2024-04-01,46850,29850,train
2024-05-01,47750,19450,train
2024-06-03,46200,24900,train
2024-07-01,50050,31650,train
2024-08-01,57050,41250,train
2024-09-02,48600,29550,train
2024-10-01,43750,27750,train
2024-11-01,39200,26400,train
2024-12-02,38200,22700,train
2025-01-01,50300,33300,train
2025-02-03,61200,45950,train
2025-03-03,69150,48000,train
2025-04-01,65050,42100,test
2025-05-01,49500,28650,test
2025-06-02,43100,26550,test
2025-07-01,47500,31750,test
2025-08-01,48700,31250,test
2025-09-01,44050,26000,test
2025-10-01,41750,27750,test
2025-11-03,36100,24050,test
2025-12-01,53050,38200,test
