date,harga_nasional_idr_kg,harga_jateng_idr_kg,split
2022-07-01,94800,89850,train
2022-08-01,71450,58100,train
2022-09-01,62300,47750,train
2022-10-03,64300,53750,train
2022-11-01,48750,33400,train
2022-12-01,47200,37200,train
2023-01-02,69300,64600,train
2023-02-01,53400,51250,train
2023-03-01,63400,55900,train
2023-04-03,53000,42400,train
2023-05-01,35500,26650,train
2023-06-01,46300,39000,train
2023-07-03,50100,28250,train
2023-08-01,48550,35200,train
2023-09-01,43650,28800,train
2023-10-02,46450,34700,train
2023-11-01,74950,71600,train
2023-12-01,92550,87400,train
2024-01-01,88600,75700,train
2024-02-01,45450,39250,train
2024-03-01,67900,61150,train
2024-04-01,52700,34350,train
2024-05-01,54650,31100,train
2024-06-03,53250,32700,train
2024-07-01,53050,36050,train
2024-08-01,76750,71450,train
2024-09-02,52950,31600,train
2024-10-01,50650,37600,train
2024-11-01,44950,35450,train
2024-12-02,44100,25750,train
2025-01-01,69150,67150,train
2025-02-03,67800,63100,train
2025-03-03,103600,101850,train
2025-04-01,97450,93400,test
2025-05-01,69050,42600,test
2025-06-02,55400,35300,test
2025-07-01,68350,62200,test
2025-08-01,60000,35550,test
2025-09-01,48500,27300,test
2025-10-01,49600,33600,test
2025-11-03,40350,26450,test
2025-12-01,65250,62100,test
