date,commodity,harga_nasional_idr_kg,harga_jateng_idr_kg,split
2022-07-01,CMB,70850,71550,train
2022-08-01,CMB,71350,70950,train
2022-09-01,CMB,60500,56350,train
2022-10-03,CMB,50350,41900,train
2022-11-01,CMB,40050,33350,train
2022-12-01,CMB,37700,28350,train
2023-01-02,CMB,40300,34300,train
2023-02-01,CMB,39500,33000,train
2023-03-01,CMB,46250,32900,train
2023-04-03,CMB,43000,29650,train
2023-05-01,CMB,40700,27850,train
2023-06-01,CMB,47750,28850,train
2023-07-03,CMB,52750,34950,train
2023-08-01,CMB,41450,32000,train
2023-09-01,CMB,45600,39000,train
2023-10-02,CMB,43250,37500,train
2023-11-01,CMB,49150,47750,train
2023-12-01,CMB,71350,72750,train
2024-01-01,CMB,62250,56800,train
2024-02-01,CMB,62750,64400,train
2024-03-01,CMB,75450,76050,train
2024-04-01,CMB,52100,37700,train
2024-05-01,CMB,54700,51300,train
2024-06-03,CMB,54550,44550,train
2024-07-01,CMB,53050,38650,train
2024-08-01,CMB,48300,38650,train
2024-09-02,CMB,42300,28850,train
2024-10-01,CMB,35000,24050,train
2024-11-01,CMB,33200,25350,train
2024-12-02,CMB,34700,23500,train
2025-01-01,CMB,57250,54950,train
2025-02-03,CMB,59700,55950,train
2025-03-03,CMB,66000,59950,train
2025-04-01,CMB,64400,57150,test
2025-05-01,CMB,53850,39250,test
2025-06-02,CMB,48750,35750,test
2025-07-01,CMB,45000,37100,test
2025-08-01,CMB,47650,34300,test
2025-09-01,CMB,46250,33800,test
2025-10-01,CMB,52250,47400,test
2025-11-03,CMB,50900,49800,test
2025-12-01,CMB,59150,56900,test
2022-07-01,CMK,77300,76550,train
2022-08-01,CMK,71000,68950,train
2022-09-01,CMK,62950,57900,train
2022-10-03,CMK,51550,45250,train
2022-11-01,CMK,39750,34250,train
2022-12-01,CMK,36700,29750,train
2023-01-02,CMK,43300,41700,train
2023-02-01,CMK,41100,38250,train
2023-03-01,CMK,46600,35900,train
2023-04-03,CMK,41650,29150,train
2023-05-01,CMK,39400,27200,train
2023-06-01,CMK,43950,25450,train
2023-07-03,CMK,50800,30400,train
2023-08-01,CMK,41950,28850,train
2023-09-01,CMK,46850,37250,train
2023-10-02,CMK,44000,34800,train
2023-11-01,CMK,57600,56600,train
2023-12-01,CMK,71400,73650,train
2024-01-01,CMK,59950,55950,train
2024-02-01,CMK,52000,51950,train
2024-03-01,CMK,68400,65300,train
2024-04-01,CMK,48450,34200,train
2024-05-01,CMK,51650,49250,train
2024-06-03,CMK,53500,45900,train
2024-07-01,CMK,51750,34150,train
2024-08-01,CMK,50000,36750,train
2024-09-02,CMK,44200,26450,train
2024-10-01,CMK,36500,21650,train
2024-11-01,CMK,33150,22500,train
2024-12-02,CMK,34450,20000,train
2025-01-01,CMK,57400,60200,train
2025-02-03,CMK,60800,52950,train
2025-03-03,CMK,68350,58750,train
2025-04-01,CMK,66200,59250,test
2025-05-01,CMK,60350,44800,test
2025-06-02,CMK,50000,35450,test
2025-07-01,CMK,46700,35800,test
2025-08-01,CMK,47250,32050,test
2025-09-01,CMK,46950,33200,test
