commodity,model,degree,MAE_IDR,RMSE_IDR,MAPE_pct
CMB,SLR,1,4190,4609,10.1175
CMB,Poly-2,2,4156,4523,9.6191
CMB,Poly-3,3,4164,4518,9.6859
CMB,Poly-4,4,4171,4514,9.7921
CMB,Poly-5,5,4158,4537,9.9647
CMK,SLR,1,4879,5460,11.7001
CMK,Poly-2,2,4686,5270,11.1436
CMK,Poly-3,3,4761,5364,11.2677
CMK,Poly-4,4,4800,5404,11.3722
CMK,Poly-5,5,4826,5426,11.6363
CRH,SLR,1,3247,4184,10.4183
CRH,Poly-2,2,2850,4051,8.9423
CRH,Poly-3,3,2907,4074,9.1781
CRH,Poly-4,4,3046,4111,9.7053
CRH,Poly-5,5,3300,4166,10.7048
CRM,SLR,1,6794,8660,17.7201
CRM,Poly-2,2,6750,8543,17.382
CRM,Poly-3,3,6593,8543,17.0673
CRM,Poly-4,4,6631,8587,17.2554
CRM,Poly-5,5,6955,8949,18.347
