commodity,model,degree,b0,b1,b2,b3
CMB,SLR,1,-21767.2185,1.2785,,
CMB,Poly-2,2,12780.957,-7.589838e-02,1.262740e-05,
CMB,Poly-3,3,0.0,6.141017e-01,6.655412e-07,6.693259e-11
CMK,SLR,1,-22457.1988,1.2803,,
CMK,Poly-2,2,-11723.8518,8.631358e-01,3.858528e-06,
CMK,Poly-3,3,0.0,1.228734e-01,1.880551e-05,-9.647416e-11
CRH,SLR,1,-13513.1388,0.9868,,
CRH,Poly-2,2,7782.0751,1.395874e-01,8.134212e-06,
CRH,Poly-3,3,0.0,5.261458e-01,2.100291e-06,2.935027e-11
CRM,SLR,1,-21811.6895,1.1799,,
CRM,Poly-2,2,-15588.6925,9.841674e-01,1.430421e-06,
CRM,Poly-3,3,0.0,1.653814e-01,1.493076e-05,-6.962239e-11
